Codigo,Especialidade
1,CONSULTA EM ACUPUNTURA
2,CONSULTA EM ALERGIA E IMUNOLOGIA
3,CONSULTA EM ANESTESIOLOGIA
4,CONSULTA EM ANGIOLOGIA
5,CONSULTA EM CIRURGIA ONCOLÓGICA
6,CONSULTA EM CARDIOLOGIA
7,CONSULTA EM CIRURGIA CARDÍACA
8,CONSULTA EM CIRURGIA GERAL
9,CONSULTA EM CIRURGIA REPARADORA
10,CONSULTA EM CIRURGIA PEDIÁTRICA
11,CONSULTA EM CIRURGIA PLÁSTICA
12,CONSULTA EM CIRURGIA TORÁCICA
13,CONSULTA EM DERMATOLOGIA
14,CONSULTA MÉDICA EM SAÚDE DO TRABALHADOR
15,CONSULTA EM CIRURGIA VASCULAR
16,CONSULTA EM ENDOCRINOLOGIA
17,CONSULTA EM FISIATRIA
18,CONSULTA EM GASTROENTEROLOGIA
19,CONSULTA EM CLÍNICA GERAL
20,CONSULTA EM GENÉTICA MÉDICA
21,CONSULTA EM GERIATRIA
22,CONSULTA EM GINECOLOGIA E OBSTETRÍCIA
23,CONSULTA EM CIRURGIA GINECOLÓGICA
24,CONSULTA EM UROGINECOLOGIA
25,CONSULTA EM HEMATOLOGIA
26,CONSULTA EM HOMEOPATIA
27,CONSULTA EM INFECTOLOGIA
28,CONSULTA EM MASTOLOGIA
29,CONSULTA EM NEFROLOGIA
30,CONSULTA EM CIRURGIA NEUROLÓGICA
31,CONSULTA EM NEUROLOGIA
32,CONSULTA EM NEUROPEDIATRIA
33,CONSULTA EM NUTROLOGIA
34,CONSULTA EM OFTALMOLOGIA
35,CONSULTA EM CIRURGIA OFTALMOLÓGICA
36,CONSULTA EM ONCOLOGIA
37,CONSULTA EM ORTOPEDIA
38,CONSULTA EM TRAUMATOLOGIA
39,CONSULTA EM CIRURGIA ORTOPÉDICA
40,CONSULTA EM OTORRINOLARINGOLOGIA
41,CONSULTA EM CIRURGIA OTORRINOLARINGOLOGIA
42,CONSULTA EM PROCTOLOGIA
43,CONSULTA EM PEDIATRIA
44,CONSULTA EM NEONATOLOGIA
45,CONSULTA EM PNEUMOLOGIA
46,CONSULTA EM TISIOLOGIA
47,CONSULTA EM PSIQUIATRIA
48,CONSULTA EM REUMATOLOGIA
49,CONSULTA EM UROLOGIA
50,CONSULTA EM ANDROLOGIA
51,CONSULTA EM CIRURGIA UROLÓGICA
52,CONSULTA EM CIRURGIA POSTECTOMIA
53,CONSULTA EM HEPATOLOGIA
54,CONSULTA EM REABILITAÇÃO FÍSICA
55,CONSULTA EM FISIOTERAPIA
56,CONSULTA EM NUTRIÇÃO
57,CONSULTA EM FONOAUDIOLOGIA
58,CONSULTA EM TERAPIA OCUPACIONAL
59,CONSULTA EM PSICOLOGIA
60,CONSULTA EM SEXOLOGIA
61,CONSULTA EM ASSISTENCIA SOCIAL
62,CONSULTA EM ODONTOLOGIA
