CodigoSIGTAP,DescricaoAB,CodigoABCorrespondente
02.02.01.029-5,Colesterol total,ABEX002
02.02.01.031-7,Creatinina,ABEX003
02.02.05.001-7,EAS / EQU,ABEX027
02.11.02.003-6,Eletrocardiograma,ABEX004
02.02.02.035-5,Eletroforese de Hemoglobina,ABEX030
02.11.08.005-5,Espirometria,ABEX005
02.02.08.011-0,Exame de escarro,ABEX006
02.02.01.047-3,Glicemia,ABEX026
02.02.01.027-9,HDL,ABEX007
02.02.01.050-3,Hemoglobina glicada,ABEX008
02.02.02.038-0,Hemograma,ABEX028
02.02.01.028-7,LDL,ABEX009
Não possui,Retinografia/Fundo de olho com oftalmologista,ABEX013
02.02.03.111-0,Sorologia de Sífilis (VDRL),ABEX019
02.02.03.090-3,Sorologia para Dengue,ABEX016
02.02.03.030-0,Sorologia para HIV,ABEX018
02.02.12.009-0,Teste indireto de antiglobulina humana (TIA),ABEX031
02.11.07.014-9,Teste da orelhinha,ABEX020
02.02.06.021-7,Teste de gravidez,ABEX023
Não possui,Teste do olhinho,ABEX022
02.02.11.005-2,Teste do pezinho,ABEX021
02.05.02.014-3,Ultrassonografia obstétrica,ABEX024
02.02.08.008-0,Urocultura,ABEX029
